Categor≠a de producto,Nombre de producto,DescripciΩn,Precio
Rolls de la casa oishi,22 maracuyˇ roll,"SalmΩn tempura ,palta y tempura crispy ,envuelto en queso crema baœado en salsa maracuyˇ.",7500
Rolls de la casa oishi,23 smook cheese,"CamarΩn apanado ,palta y ceboll≠n envuelto en queso crema flameado coronado con chimichurri y salsa tery",7500
Rolls de la casa oishi,24 Lemon,"SalmΩn tempura ,queso crema y palta envuelto en salmon fresco y coronado con finas rodajas de limΩn y baœado en salsa tery",7500
Rolls de la casa oishi,25 rainbow roll,"SalmΩn ,atún ,queso crema y mango envuelto en plaquetas mixta",7000
Rolls de la casa oishi,26 Uzumaki roll,"SalmΩn ahumado, queso crema,kanikama apanado en plˇtano con puntos de salsa dinamita y salsa tery",8000
Rolls de la casa oishi,27 futo rainbow,"Atún, salmΩn, queso crema y mango envuelto en nori con salsa acevichada y toques de masago",8500
Rolls de la casa oishi,28 selva Green,"CamarΩn tempura,palta, kanikama apanado en queso crema y wakame con salsa tery y salsa spicy",7500
Rolls de la casa oishi,29 tanjiro roll,"Kanikama apanado, palta y ceboll≠n en sesamo con topin de camarones gratinados con queso crema con salsa de la casa",7500
Rolls de la casa oishi,30 acevichado roll,"CamarΩn apanado,palta en sesamo coronado con exquisito ceviche de reineta",7000
Rolls de la casa oishi,31.5 platano rol,"Pollo, queso crema,  cebollin en plˇtano",8000
Rolls de la casa oishi,31 PoseidΩn roll,"Kanikama, palta,ceboll≠n, coronado con Co gratinado de salmΩn y queso crema terminado con salsa tery",8000
Hot roll,32 Sake hot,"SalmΩn, queso crema,ceboll≠n en panko",5500
Hot roll,33 eby hot,"CamarΩn, queso crema, ceboll≠n en panko",6500
Hot roll,34 tery hot,"Pollo tery,queso crema, ceboll≠n en panko",6500
Hot roll,35 chiken hot,"Pollo apanado, queso crema, pimentΩn en panko",6500
Hot roll,36 Kani hot,"Kanikama apanado, queso crema, en panko con ensalada de wakame y kanikama",7000
Hot roll,37 smook roll,"SalmΩn ahumado, kanikama apanado,queso crema y palta en panko",6000
Hot roll,38 yasay hot,"ChampiœΩn tempura, queso crema, ceboll≠n, palmito en panko",5000
Hot rolls especial oishi,39 oishi hot,"CamarΩn apanado, queso crema, ceboll≠n en panko . Con topin de camarones apanados, mayonesa, ceboll≠n, un Toque picante con salsa Fuji y tery",5000
Hot rolls especial oishi,40 Valencia hot,"Pescado blanco apanado, salmΩn ahumado, queso crema, en panko con topin de pasta dinamita y salsa tery",5500
Hot rolls especial oishi,41 osaki hot,"Kanikama apanado,salmΩn ahumado,queso crema,palta, en panko con toppings de pescado blanco apanado,mayonesa,ceboll≠n, un toque picante con salsa acevichado",5500
Hot rolls especial oishi,42 dinamita hot,"SalmΩn tempura,palta en tempura con pasta dinamita un toque picante y salsa tery",6000
Hot rolls especial oishi,43 vulcan roll,camaron apqanado y palta en panko con topping de salmon gratinado con queso crema y salsa tery,5500
Hot rolls especial oishi,44 spicy hot,"salmon, queso crema, palta en tempura con salsa spicy y sirasha",6000
Hot rolls especial oishi,45 acevichado hot,kanikama tempura y palta en pamko con delicioso ceviche de reineta,7000
Rolls sin arroz,46 goku roll,"salmon, atun, pescado blanco, queso cremay palta en nori  con saqlsa acevichada y masago",6000
Rolls sin arroz,47 sake ligh,"salmon, queso crema, mango, kanikama apanado, pepino en palta y salsa mayo maracuya",6000
Rolls sin arroz,48 itashi roll,"salmon temporisado, queso crema, palta, kanikama apanado, cebolllin en platano y salsa tery",6500
Rolls sin arroz,49 chipo roll,"pollo tery, queso crema, cebollin y tempura  crispi en palta con salsa tery",6500
Rolls sin arroz,50 yamato roll,"salmon, atun, lechuga, pepino, queso  crema y cilantro en hoja de arroz y salza ponzu",10000
Rolls sin arroz,50.5 naruto roll,"Salmon , camarΩn, kanikama apanado,queso crema, cebollin y palta, en plaqueta mixta de salmΩn y palta.",12000
Hot vegetarianos,51 champi hot,"champiœon, queso crema, cebollin en panko",12500
Hot vegetarianos,52 ceviche hot,mix de verduras en tempura en pamko con ceviche de champiœones,12000
Hot vegetarianos,53 kento hot,"palmito, pepino, zanahoria tempura en panko con topin de verduras picaditas con salsa acevichadas",8000
Hot vegetarianos,54 palmito hot,"palmito, palta, cebollin en panko con topin de verduras salteadas y papas al hilo",10000
Hot vegetarianos,55 guacamole vergan,"champiœon tempura, pepino y cebollin en panko con toping de guacamole",10500
Hot vegetarianos,56 onion roll,"palta, champiœon tempura, y cebollin en panko topin de aros de cebolla",10500
Rolls vegetarianos,57 namikaze roll,"champiœon, queso crema y cebollin en sesamo",5000
Rolls vegetarianos,58 ghambito roll,"vegetales temporizados, con queso crema en ciboulette",7000
Rolls vegetarianos,59 nagato roll,"champiœon, queso crema, pimenton en palta con topping de cebolla caramelizada",7000
Rolls vegetarianos,60 platano roll,verduras tempura o queso crema cebollin en platano,7000
Rolls vegetarianos,61 Exotico roll,champiœon tempura mango y pepino en platano,7000
Rolls vegetarianos,62 champi avocado,champiœon queso pimenton en palta,3000
Rolls vegetarianos,63 minato roll,palmito queso crema pepino en mango y salsa de maracuya,7000
Rolls vegetarianos,64 primavera roll,lechuga queso crema mango palta pepino cilantro en hoja de arroz con salsa ponzu,7000
Rolls vegetarianos,65 tropical,palmito mango queso crema en palta,8000
Rolls vegetarianos,66 crispi vegan,champiœon tempura zanahoria tempura cebollin en palta con toping de tempura crispii,7000
Rolls vegetarianos,67vegeta,pepino palmito en palta con toping de verduras picadas en salsa acevichada y tempura crispi,7000
Rolls vegetarianos,68 ceviche vegan,palta cebolla y pepino en palta con toping de ceviche de champiœΩn,7000
Ceviches y platos frios oishi,69 ceviche reineta,reineta fresca cebolla leche de tigre limon camote cocido canchita choclo peruano y cilantro,7500
Ceviches y platos frios oishi,70 ceviche mixto,finos cortes de reineta salmon y camarones leche de tigre limon camote cocido canchita choclo peruano y cilantro,7000
Ceviches y platos frios oishi,71 ceviche de salmon,salmon fresco cebolla leche de tigre limon camote cocido canchita choclo peruano y cilantro,7000
Ceviches y platos frios oishi,72 ceviche al aji amarillo,ceviche de reineta Y camaron en salsa acevichada con un toque de salsa de aji amarillo palta y cilantro,700
Ceviches y platos frios oishi,73 ceviche champiœon,champiœones frescos limon cebolla leche de tigre camote palta y cilantro,3800
Ceviches y platos frios oishi,74 palta acevichada,cuadritos de palta pimentΩn coronado con ceviche de reineta salsa de aji amarillo y un toque de masago,4500
Ceviches y platos frios oishi,75 tiraditos de salmon,12 finos cortes de salmon baœados en salsa especial oishi con un toque de salsa spice,1000
Ceviches y platos frios oishi,tiraditos de atun,finos cortes de atun con palta baœados en salsa especial oishi con toques de tongarashi y cilantro,5000
Colaciones,arroz estilo venezolano cerdo,"arroz salteado con huevo diente de dragΩn , cerdo  ,zanahoria y cebollin aderezado con especias chinas salsa agridulce",4500
Colaciones,tallarines takiri,tallarines con pollo en salsa blanca y champiœones,4000
Colaciones,Cerdo o pollo agridulce,chuletas de cerdo salteado en salsa agridulce con arroz y ensalada,5000
Colaciones,pollo takiri,"pollo salteado con champiœones , arroz y enselada fresca",4000
Colaciones,Ensalada fresca,"Tomate, cebolla, lechuga, zanahoria, palta y  su salsa de aderezo",3500
Colaciones,Pollo salteado con vegetales,Pollo con vegetales salteado y arroz,4000
Colaciones,tallarines salteados pollo,"tallarines estilo chino, salteados con vegetales, especies chinas, pollo y soya",3500
Colaciones,Pescado en salsa de champiœones,Reineta a la plancha con salsa blanca de champiœones con arroz y ensalada chilena,500
Colaciones,Tallarines al estilo chino mixtos,Tallarines salteados con pollo y cerdo al estilo chino con vegetales y especias chinas,4000
Colaciones,arroz chino estilo venezolano  pollo,"arroz salteado con huevo diente de dragΩn , pollo ,zanahoria y cebollin aderezado con especias chinas salsa agridulce",5000
Colaciones,tallarines salteados cerdo,"tallarines estilo chino, salteados con vegetales, especies chinas, cerdo y soya",0
Colaciones,Arroz chino al estilo Venezolano mix,Arroz frito con verduras y especies china de cerdo y pollo,7000
Colaciones,pollo teriyaki,tiras de pollo en salsa teriyaki acompaœado con arroz y vegetales salteados,4500
Colaciones,Tonkatsu de pollo,"milanesa de pollo apanada con arroz , ensalda tonkatsu y miel mostaza",4500
Gohan,gohan vegetariano,"base de arroz de sushi, queso crema, ceboll≠n con vegetales",6000
Gohan,gohan de salmon camarones,"base de arroz de sushi, queso crema y ceboll≠n con salmon y camarones",7500
Gohan,gohan acevichado,"base de arroz de sushi, queso crema, ceboll≠n con ceviche de reineta",8000
Gohan,gohan de salmon,"base de arroz de sushi, queso crema, cebollin con salmon",7000
Gohan,gohan de pollo,"base de arroz de sushi, queso crema, cebollin y palta con pollo apanado",6000
Gohan,gohan de salmon y pollo,"base de arroz de sushi, queso crema, cebollin con salmon y pollo apanado",7500
Gohan,gohan de camarones,"base de arroz de sushi, queso crema, cebollin y palta con camarones",6500
Platos calientes especiales,Tallarines salteados de mariscos,Tallarines salteados con verduras mixtas aderezados con especias chinas y surtido de mariscos,10000
Platos calientes especiales,tallarines a la huancaina de lomo,tallar≠n con salsa a la huanca≠na con lomo saltado,11500
Platos calientes especiales,tallarines a la huancaina de pollo o,tallar≠n con salsa a la huanca≠na con pollo salteado,9000
Platos calientes especiales,Verduras salteadas con camarones,Verduras salteadas con camarΩn,8000
Platos calientes especiales,Verduras salteadas de pollo,"Verduras salteadas con una  prote≠na a elecciΩn (pollo, cerdo.)",7000
Platos calientes especiales,tepanyaki pollo,Arroz frito estilo tailand?s acompaœado con cebolla y champiœones con pollo a la plancha con un toque de salsa agridulce y papas fritas o ensalada,8500
Platos calientes especiales,arroz chino especial,"arroz frito con pollo, cerdo, camarones, huevo, diente de dragΩn, ceboll≠n, salteado  con especias chinas y soya mas un narrollado primavera hy salsa agiridulce",8500
Platos calientes especiales,salmon al grill,baœado con pebre y con un toque de salsa aji amarillo acompaœado con arroz o papas,12500
Platos calientes especiales,lomo salteado,lomo salteado con vegetales estilo peruano acompaœado de arroz y papas fritas,12500
Platos calientes especiales,Tallarines especiales,"Tallarines salteados con mix de verduras y especias chinas con pollo, cerdo, y camarones",9000
Platos calientes especiales,arroz con mariscos,Arroz con mariscos aderezados con exqusita salsa de aji amarrillo coronado con ensalada criolla,12000
Platos calientes especiales,Tataki de atun,Atún sellado con pimienta y aceite de s?samo acompaœado de arroz y verduras salteadas,10500
Platos calientes especiales,tallarin a la huancaina con mariscos,tallar≠n a la huancaina con mariscos salteados,11000
Platos calientes especiales,tepanyaki lomo,Arroz frito estilo tailand?s acompaœado con cebolla y champiœones con lomo a la plancha con un toque de salsa agridulce y papas fritas o ensalada,11000
Ramen,Ramen marino,Ramen de surtido de mariscos,7000
Ramen,Ramen de camarones,Ramen de camarones,6500
Ramen,Ramen de pollo,,6000
Ramen,Ramen de cerdo,,6000
Salsas,Salsas,,500
Tortas,Torta de sushi de 100 piezaspiezas,Sushi surtidos,50000
Tortas,Tortas de 60 piezas,La promo de 60 pieza surtidas,35000
Bebidas y jugos,bebidas de la lata,,1500
Bebidas y jugos,"limonada, menta gengibre",,2000
Bebidas y jugos,jugo natural piœa,,2000
Bebidas y jugos,Agua sin gas de litros,,1500
Bebidas y jugos,Agua sin gas 700 gr,,1000
Bebidas y jugos,limonada,,1500
Bebidas y jugos,Jugo watts,De manzana o durazno,2500
Bebidas y jugos,Bebida grande,,2500
Bebidas y jugos,jugo natural maracuya,,2500
Bebidas y jugos,jugo natural de frutilla,,2500
Bebidas y jugos,Agua saborizada,"Mango-maracuya, manzana",2000
hand rolls,PromociΩn especial hand roll,"4 hand rolls de pollo queso crema y ceboll≠n 
Promo especiales d≠as feriados",10000
hand rolls,Hand roll  palmito,"Queso crema  cebollin, palmito",4000
hand rolls,Hand roll champiœon,"Queso crema,  cebollin, champiœon apanado",4000
hand rolls,hand roll de camron,"rollo con camarones,queso crema, cebollin en panko",4500
hand rolls,hand roll de pollo,"rollo con pollo, queso, cebollin en panko",4000
hand rolls,hand roll salmon,"roll de Salmon, queso crema y cebollin en panko",4500
hand rolls,Hand roll sin prote≠na,"Queso crema, cebollin, palta",4000
hand rolls,hand roll de kanikama,"roll de kanikama, queso crema, cebollin en panko",4000
Promociones de sushi,promo de 60 piezas,"10 de piezas de pollo en sesamo o cibullete
10 piezas de salmon en palta
10 piezas de camaron en salmon
10 piezas de champiœon en platano
10 piezas de pollo en queso crema
10 piezas de kanikama en panko",26500
Promociones de sushi,Promo 40 piezas,"10 piezas de pollo en s?samo o ciboulette
10 piezas de camarΩn en queso crema
10 piezas  de Salmon en palta
10 piezas de kanikama en panko",16500
Promociones de sushi,Promo 30 piezas,"10 piezas de pollo en s?samo o ciboulette
10 piezas de camarΩn en palta
10 piezas de kanikama en panko",12500
Promociones de sushi,Producto 13,,0
Promociones de sushi,PromociΩn de 50 piezas vegetariana,"10 pieza de champiœon, queso crema, cebollin en s?samo o cibullet. 
10 pieza de palmito, queso crema cebollin en palta 
10 pieza de verduras tempura,  queso crema, cebollin en panko.
10 piezas de palta, pimentΩn, cebollin en queso crema.
10 piezas de champiœon, queso crema, cebollin en plˇtano.",20000
Promociones de sushi,Promocion 40 piezas vegetariana,"10 pieza de champiœon, queso crema, cebollin en s?samo o cibullet. 
10 pieza de palmito, queso crema cebollin en palta 
10 pieza de verduras tempura,  queso crema, cebollin en panko.
10 piezas de palta, pimentΩn, cebollin en queso crema.",15500
Promociones de sushi,PromociΩn de 30 piezas vegetariana,"10 pieza de champiœon, queso crema, cebollin en s?samo o cibullet. 
10 pieza de palmito, queso crema cebollin en palta 
10 pieza de verduras tempura,  queso crema, cebollin en panko.",11500
Promociones de sushi,Promocion 20 piezas vegetariana,"10 pieza de champiœon,queso crema, cebollin  en s?samo o cibullet.

10 pieza de palmito, queso crema, cebollin en palta.",8500
Promociones de sushi,Promo de fútbol,60 piezas surtidas,21000
Promociones de sushi,Promo 3 hand roll,"hand roll de pollo 
hand roll de kanikama 
hand roll de camarones",10500
Promociones de sushi,promo 20 piezas,"10 piezas de pollo en s?samo o ciboulette
10 piezas de camarΩn en panko",8500
Promociones de sushi,Promo 2 hand rolls,"hand roll de pollo 
hand roll kanikama",7500
Promociones de sushi,promo 50 piezas,"10 piezas de pollo en queso crema
10 piezas de camarΩn en salmΩn
10 piezas de salmΩn en palta
10 piezas de kanikama en panko
10 piezas de pollo en panko",22000
